hotel_id,hotel_name,city,country,price_per_night,star_rating,features
H024,Comet's Nest,Elython Verge,Zenthari Realm,320,4,"Crystal spa, Subterrain café, Dream pod beds"
H025,Gravity Retreat,Tyrax Null,Veltherion Accord,270,4,"Sun-shielded domes, Energy bar, Telepathic service"
H026,Starlight Haven,Veloria Bay,Zenthari Realm,600,5,"Zero-gravity gym, Holographic entertainment, Cosmic cuisine"
H027,Asteroid Oasis,Orion's Edge,Myrron Union,410,4,"Starlit terraces, Holo-massage, Interstellar bar"
H028,Orbit Retreat,Thyra Plains,Zenthari Realm,480,5,"Infinity pool, Rooftop observatory, Gourmet fusion restaurant"
H029,Gravity Haven,Ciryx-Tor,Veltherion Accord,550,5,"Virtual reality spa, Celestial dining, Gravity-defying yoga"
H030,Starfall Haven,Neyvola,Myrron Union,520,5  ,"Lunar observatory, Celestial spa, Gourmet dining"
H031,Astro Retreat,Orion's Peak,Zenthari Realm,290,3,"Stellar gardens, Solar-powered amenities, Eco-friendly rooms"
H032,Comet Haven,Veloria Bay,Myrron Union,310,3,"Beachfront views, Solar-powered amenities, Eco-friendly rooms"
H033,Galactic Rest,Thyra Plains,Veltherion Accord,450,  5,"Starlit observatory, Quantum dining, Holo-entertainment"
H034,Zenith Haven,Ciryx-Tor,Zenthari Realm,400,4,"Lunar spa, Celestial dining, Holo-gym"
H035,Stellar Oasis,Orion's Edge,Veltherion Accord,480,  5,"Infinity pool, Rooftop observatory, Gourmet fusion restaurant"
H036,Quantum Point,Neyvola,Zenthari Realm,550,5,"Virtual reality spa, Celestial dining, Gravity-defying yoga"
H037,Astro Haven,Seraphis Heights,Myrron Union,360,4,"Starlit terraces, Holo-massage, Interstellar bar"
H038,Comet's Retreat,Elython Verge,Zenthari Realm,320,4,"Crystal spa, Subterrain café, Dream pod beds"
H039,Gravity Nest,Tyrax Null,Veltherion Accord,270,4,"Sun-shielded domes, Energy bar, Telepathic service"
H040,Starlight Retreat,Veloria Bay,Zenthari Realm,600,5 ,"Zero-gravity gym, Holographic entertainment, Cosmic cuisine"
H041,Asteroid Haven,Orion's Edge,Myrron Union,410,4,"Starlit terraces, Holo-massage, Interstellar bar"
H042,Orbit Haven,Thyra Plains,Zenthari Realm,480,5,"Infinity pool, Rooftop observatory, Gourmet fusion restaurant"
H043,Gravity Retreat,Ciryx-Tor,Veltherion Accord,550,5,"Virtual reality spa, Celestial dining, Gravity-defying yoga"
H044,Starfall Oasis,Neyvola,Myrron Union,520,5,"Lunar observatory, Celestial spa, Gourmet dining"
H045,Astro Haven,Orion's Peak,Zenthari Realm,290,3,"Stellar gardens, Solar-powered amenities, Eco-friendly rooms"
H046,Comet Haven,Veloria Bay,Myrron Union,310,3,"Beachfront views, Solar-powered amenities, Eco-friendly rooms"
H047,Galactic Rest,Thyra Plains,Veltherion Accord,450,5,"Starlit observatory, Quantum dining, Holo-entertainment"
H048,Zenith Haven,Ciryx-Tor,Zenthari Realm,400,4,"Lunar spa, Celestial dining, Holo-gym"
H049,Stellar Oasis,Orion's Edge,Veltherion Accord,480,5,"Infinity pool, Rooftop observatory, Gourmet fusion restaurant"
H050,Quantum Point,Neyvola,Zenthari Realm,550,5,"Virtual reality spa, Celestial dining, Gravity-defying yoga"
